author,predictor,outcome,rho_raw,ci_raw_lo,ci_raw_hi,rho_partial,ci_part_lo,ci_part_hi,n
human,sample_nloc,defects_total,0.34832409056525104,0.345049871065759,0.35155782131964486,nan,nan,nan,285230
human,sample_nloc,def_assignment,0.17806557198425232,0.174224806303689,0.18184540029732024,nan,nan,nan,285230
human,sample_nloc,def_algorithm,0.2852398106729386,0.2816097657997177,0.2885275021097703,nan,nan,nan,285230
human,sample_nloc,def_interface,0.17746495854105304,0.1738430413223203,0.18090861365116992,nan,nan,nan,285230
human,sample_nloc,def_checking,0.21583432534970715,0.21268514325885143,0.21908245053948525,nan,nan,nan,285230
human,sample_nloc,def_timing,nan,nan,nan,nan,nan,nan,285230
human,sample_nloc,def_function_class_object,0.012498774573144274,0.008912096526249061,0.01599992974358698,nan,nan,nan,285230
human,sample_nloc,vulns_total,0.12145615896871417,0.11786031071146595,0.1252184232958571,nan,nan,nan,285230
human,sample_nloc,vulns_high_sev,0.03654840709211224,0.03303048037581135,0.04040943842294621,nan,nan,nan,285230
human,nloc,defects_total,0.336976521265297,0.3335963008415389,0.3403383831036784,-0.013692274816941833,-0.01791296441773232,-0.009363139167958596,285230
human,nloc,def_assignment,0.16917295452211417,0.1652866435152892,0.172829300604302,-0.020956201444124214,-0.025056607557115643,-0.016750638930951113,285230
human,nloc,def_algorithm,0.2777706329062128,0.274167806527358,0.28100334523179976,-0.002314787571676614,-0.006329146539481544,0.0019143656052624423,285230
human,nloc,def_interface,0.17022915447433284,0.16669833382273228,0.1736926405953534,-0.013365550891305603,-0.01838352718434318,-0.008245982938637134,285230
human,nloc,def_checking,0.21468422972225554,0.21150601788159965,0.21807536452714837,0.01924720952002684,0.015458190926727415,0.02295432280993941,285230
human,nloc,def_timing,nan,nan,nan,nan,nan,nan,285230
human,nloc,def_function_class_object,-0.001172862879195306,-0.004740558029390333,0.002268840125129234,-0.06078849489886315,-0.0679013172908718,-0.053821260159550605,285230
human,nloc,vulns_total,0.11953147595838921,0.1159661263175628,0.12312254116827626,0.004801529021308092,0.0006552423472405615,0.008367786131265247,285230
human,nloc,vulns_high_sev,0.037675322325467005,0.03414044508552071,0.0412926811806774,0.009199149993722065,0.006520062976629093,0.011366501907286136,285230
human,ccn,defects_total,0.30267324770366183,0.2992446194271455,0.30599359146521193,0.07840554319438835,0.07481569422542532,0.08213494215767762,285230
human,ccn,def_assignment,0.1317046977307111,0.12779417136941754,0.135446601761203,0.004301766126208282,0.0007892657535701888,0.007934597684272423,285230
human,ccn,def_algorithm,0.32152702240218384,0.3181927409428591,0.3247535993510921,0.17409089105444736,0.17075843693805537,0.17736521680527914,285230
human,ccn,def_interface,0.10553262488338729,0.10161919563107569,0.10919158528838352,-0.033567674459853654,-0.03736152294195557,-0.02998086592634537,285230
human,ccn,def_checking,0.1882354759223215,0.18487363042024066,0.1913954081736481,0.04766006967844972,0.04452567956040144,0.05036285372778708,285230
human,ccn,def_timing,nan,nan,nan,nan,nan,nan,285230
human,ccn,def_function_class_object,-0.002264801733105321,-0.005828782056900564,0.0011507630232424303,-0.01636965105411437,-0.020238806174240988,-0.012472347885370378,285230
human,ccn,vulns_total,0.062329195068059305,0.058223224304250754,0.0661358391174642,-0.03721488894988287,-0.040863703194278456,-0.033701341652477415,285230
human,ccn,vulns_high_sev,0.01330409291791607,0.009434401988501573,0.017450928242247737,-0.01902276235055197,-0.022540770164997715,-0.015390697034764679,285230
human,parameter_count,defects_total,0.19139072697117807,0.18750372766792145,0.19510100945743422,0.1739715127569638,0.1701456534200975,0.1775489880995318,285230
human,parameter_count,def_assignment,0.18200131844220288,0.178359052364509,0.18547909244389288,0.1705430466283484,0.16685712801972147,0.1739766102656264,285230
human,parameter_count,def_algorithm,0.03641638327174653,0.03277235361782941,0.04031783808814735,0.013369898261240895,0.009582968258240378,0.01718216193114111,285230
human,parameter_count,def_interface,0.19403211537379095,0.18927546757873331,0.19853710057056487,0.18284207674780792,0.17821017496717023,0.18732116869622986,285230
